,tweet_id,source_x,date,time,rating_numerator,rating_denominator,name,dog_stages,jpg_url,predicted dog breed,degree of confidence,number of retweets,number of likes
1811,673919437611909120,Twitter for iPhone,2015-07-12,17:38:09,11,10,Obie,pupper,https://pbs.twimg.com/media/CVo-JuMWwAAet6F.jpg,schipperke,0.1159839999999999,327,1057
1812,673956914389192708,Twitter for iPhone,2015-07-12,20:07:04,10,10,one,pupper,https://pbs.twimg.com/media/CVpgPGwWoAEV7gG.jpg,pug,0.5861609999999999,838,1752
1813,674038233588723717,Twitter for iPhone,2015-08-12,01:30:12,12,10,Kaiya,pupper,https://pbs.twimg.com/media/CVqqMtiVEAEye_L.jpg,Eskimo_dog,0.358459,369,980
1815,674262580978937856,Twitter for iPhone,2015-08-12,16:21:41,9,10,Gus,pupper,https://pbs.twimg.com/media/CVt2PawWIAEUkqW.jpg,Greater_Swiss_Mountain_dog,0.519428,386,1180
1816,845306882940190720,Twitter for iPhone,2017-24-03,16:10:40,12,10,Pickles,pupper,https://pbs.twimg.com/media/C7siH5DXkAACnDT.jpg,Irish_water_spaniel,0.567475,4868,21656
1818,675845657354215424,Twitter for iPhone,2015-13-12,01:12:15,10,10,Pepper,pupper,https://pbs.twimg.com/media/CWEWClfW4AAnqhG.jpg,pug,0.8839520000000001,780,2049
1820,674737130913071104,Twitter for iPhone,2015-09-12,23:47:22,10,10,Rufio,pupper,https://pbs.twimg.com/media/CV0l10AU8AAfg-a.jpg,Pomeranian,0.948537,80,580
1821,674774481756377088,Twitter for iPhone,2015-10-12,02:15:47,11,10,Superpup,pupper,https://pbs.twimg.com/media/CV1HztsWoAAuZwo.jpg,Chihuahua,0.407016,411,990
1823,837110210464448512,Twitter for iPhone,2017-02-03,01:20:01,13,10,Clark,pupper,https://pbs.twimg.com/media/C54DS1kXQAEU5pS.jpg,Siberian_husky,0.767696,2185,15078
1824,675006312288268288,Twitter for iPhone,2015-10-12,17:37:00,10,10,Mollie,pupper,https://pbs.twimg.com/media/CV4aqCwWsAIi3OP.jpg,boxer,0.654697,201,876
1828,833124694597443584,Twitter for iPhone,2017-19-02,01:23:00,12,10,Gidget,pupper,https://pbs.twimg.com/media/C4_ad1IUoAEspsk.jpg,Cardigan,0.7105229999999999,4452,19008
1831,817777686764523521,Twitter for iPhone,2017-07-01,16:59:28,13,10,Dido,pupper,https://pbs.twimg.com/ext_tw_video_thumb/817777588030476288/pu/img/KbuLpE4krHF4VdPf.jpg,curly-coated_retriever,0.733256,2521,10227
1832,678389028614488064,Twitter for iPhone,2015-20-12,01:38:42,11,10,Bella,pupper,https://pbs.twimg.com/media/CWofOHUWUAACGVa.jpg,miniature_pinscher,0.516284,383,1715
1838,683111407806746624,Twitter for iPhone,2016-02-01,02:23:45,10,10,Larry,pupper,https://pbs.twimg.com/media/CXrmMSpUwAAdeRj.jpg,cocker_spaniel,0.901392,818,3148
1840,683142553609318400,Twitter for iPhone,2016-02-01,04:27:31,9,10,Brandy,pupper,https://pbs.twimg.com/media/CXsChyjW8AQJ16C.jpg,Leonberg,0.605851,938,2649
1844,683481228088049664,Twitter for iPhone,2016-03-01,02:53:17,11,10,Banjo,pupper,https://pbs.twimg.com/media/CXw2jSpWMAAad6V.jpg,keeshond,0.508951,904,2452
1845,672594978741354496,Twitter for iPhone,2015-04-12,01:55:13,9,10,Scott,pupper,https://pbs.twimg.com/media/CVWJkJXWsAInlZl.jpg,Great_Pyrenees,0.755945,531,1181
1849,866450705531457537,Twitter for iPhone,2017-22-05,00:28:40,13,10,Jamesy,pupper,https://pbs.twimg.com/media/DAZAUfBXcAAG_Nn.jpg,French_bulldog,0.905334,30212,108917
